R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
R,.,.,S,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,S,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,S,S,S,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,W,W,W,W,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,R
R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
10
5
8
1
3
2
